Study,Train Domain,Physics Loss?,Noise Level,MAE - Train,MAE - Test,MAE - Val
noise_study_ood_domain_no_phy_smaller,Small,FALSE,0,0.00036,0.00037,0.00104
noise_study_ood_domain_no_phy_smaller,Small,FALSE,0.2,0.00072,0.00073,0.00115
noise_study_ood_domain_no_phy_smaller,Small,FALSE,0.5,0.00079,0.00080,0.00122
noise_study_ood_domain_phy_smaller,Small,TRUE,0,0.00033,0.00034,0.00103
noise_study_ood_domain_phy_smaller,Small,TRUE,0.2,0.00037,0.00038,0.00091
noise_study_ood_domain_phy_smaller,Small,TRUE,0.5,0.00062,0.00063,0.00099
noise_study_ood_domain_no_phy,Big,FALSE,0,0.00022,0.00022,0.00037
noise_study_ood_domain_no_phy,Big,FALSE,0.2,0.00046,0.00045,0.00077
noise_study_ood_domain_no_phy,Big,FALSE,0.5,0.00071,0.00070,0.00109
noise_study_ood_phy_domain_sampled,Big,TRUE,0,0.00017,0.00017,0.00038
noise_study_ood_phy_domain_sampled,Big,TRUE,0.2,0.00036,0.00036,0.00068
noise_study_ood_phy_domain_sampled,Big,TRUE,0.5,0.00101,0.00102,0.00134
